source_url,source_path,title,content_type,canonical_target,content_blocks,downloads,external_links,migration_status
https://www.prexion.com/,/,Home,institutional,/,14,1,14,ready-for-implementation
https://www.prexion.com/aae-annual-meteting-2026-salt-lake-city-ut/,/aae-annual-meteting-2026-salt-lake-city-ut,AAE Annual Meteting 2026 – Salt Lake City – UT,article,/aae-annual-meteting-2026-salt-lake-city-ut,4,0,6,ready-for-implementation
https://www.prexion.com/accessibility-statement/,/accessibility-statement,Accessibility Statement,legal,/accessibility-statement,10,0,8,ready-for-implementation
https://www.prexion.com/aeedc-dubai-event/,/aeedc-dubai-event,AEEDC Dubai 2026,event,/aeedc-dubai-event,2,0,6,ready-for-implementation
https://www.prexion.com/all-reps-subscribe/,/all-reps-subscribe,All Reps Subscribe Page (LP),landing-page,/all-reps-subscribe,13,0,4,ready-for-implementation
https://www.prexion.com/applications-by-specialty/,/applications-by-specialty,Applications By Specialty,product,/product,43,0,4,ready-for-implementation
https://www.prexion.com/apply-job/,/apply-job,Apply for this Job,landing-page,/careers/apply,6,0,4,ready-for-implementation
https://www.prexion.com/careers-at-prexion/,/careers-at-prexion,Careers at PreXion,institutional,/careers,52,0,5,ready-for-implementation
https://www.prexion.com/catapult/,/catapult,Catapult (LP),landing-page,/catapult,46,2,7,ready-for-implementation
https://www.prexion.com/category/blog/,/category/blog,Blog,article,/news,7,0,4,ready-for-implementation
https://www.prexion.com/cbct-scanner-options/,/cbct-scanner-options,Combo (LP),product,/product,46,0,4,ready-for-implementation
https://www.prexion.com/chicago-mindwinter-dental/,/chicago-mindwinter-dental,Chicago Mindwinter,event,/chicago-mindwinter-dental,1,0,6,ready-for-implementation
https://www.prexion.com/contact/,/contact,Contact Us,institutional,/contact,11,0,4,ready-for-implementation
https://www.prexion.com/discover-the-evolve-2d-pan/,/discover-the-evolve-2d-pan,Evolve 2D (PAN) (LP),landing-page,/product/evolve-2d,21,0,4,ready-for-implementation
https://www.prexion.com/discover-the-expedition-cbct-scanner/,/discover-the-expedition-cbct-scanner,Expedition CBCT Scanner (LP),product,/product,39,0,4,ready-for-implementation
https://www.prexion.com/discover-the-explorer-ex-cbct-scanner/,/discover-the-explorer-ex-cbct-scanner,Explorer EX CBCT Scanner (LP),landing-page,/discover-the-explorer-ex-cbct-scanner,18,2,4,ready-for-implementation
https://www.prexion.com/discover-the-prexion-3d-intraoral-sensor/,/discover-the-prexion-3d-intraoral-sensor,Prexion 3D Intraoral Sensor (LP),landing-page,/product/evolve-sensor,42,0,5,ready-for-implementation
https://www.prexion.com/distributor-locations/,/distributor-locations,Distributor Locations,sales,/distributors,7,0,4,ready-for-implementation
https://www.prexion.com/download-be-more-profitable-more-quickly/,/download-be-more-profitable-more-quickly,Download – Be More Profitable More Quickly,landing-page,/download-be-more-profitable-more-quickly,12,0,5,ready-for-implementation
https://www.prexion.com/download-dental-professionals-insights-on-precision-imaging-excellence/,/download-dental-professionals-insights-on-precision-imaging-excellence,Download – Dental Professionals’ Insights on Precision Imaging Excellence,landing-page,/download-dental-professionals-insights-on-precision-imaging-excellence,13,0,4,ready-for-implementation
https://www.prexion.com/download-ebook-library/,/download-ebook-library,Download eBook Library (LP),resource,/resources,32,0,4,ready-for-implementation
https://www.prexion.com/download-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology/,/download-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology,Download – How Your Peers Earn ROI from 3D CBCT Scan Imaging Technology,landing-page,/download-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology,19,0,4,ready-for-implementation
https://www.prexion.com/download-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses/,/download-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses,Download – Mitigating Practice Liability Exposure with Precision Treatment Planning and Diagnoses,landing-page,/download-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses,18,0,4,ready-for-implementation
https://www.prexion.com/download-overcoming-rising-costs-and-economic-challenges-in-dentistry/,/download-overcoming-rising-costs-and-economic-challenges-in-dentistry,Download Overcoming Rising Costs and Economic Challenges in Dentistry,landing-page,/download-overcoming-rising-costs-and-economic-challenges-in-dentistry,7,0,4,ready-for-implementation
https://www.prexion.com/downloadable-assets/,/downloadable-assets,Downloadable Assets,resource,/resources,63,0,4,ready-for-implementation
https://www.prexion.com/education-and-support/,/education-and-support,Education & Support,education,/support,19,0,4,ready-for-implementation
https://www.prexion.com/evolve-2d-pan/,/evolve-2d-pan,Evolve 2D (PAN),product,/product/evolve-2d,18,1,4,ready-for-implementation
https://www.prexion.com/evolve-scan-intraoral-scanner/,/evolve-scan-intraoral-scanner,Evolve Scan,product,/product/evolve-scan,49,0,4,ready-for-implementation
https://www.prexion.com/evolve-x-ray-hand-held-dental-x-rays/,/evolve-x-ray-hand-held-dental-x-rays,Evolve X-Ray: Hand Held Dental X-Rays,product,/product/evolve-xray,29,1,5,ready-for-implementation
https://www.prexion.com/explorer-ex-cbct-scanner-complimentary-demo/,/explorer-ex-cbct-scanner-complimentary-demo,Explorer EX CBCT Scanner – Request a Demo (LP),landing-page,/explorer-ex-cbct-scanner-complimentary-demo,61,1,7,ready-for-implementation
https://www.prexion.com/explorer-ex-cbct-scanner-free-download/,/explorer-ex-cbct-scanner-free-download,Explorer EX CBCT Scanner – Download Brochure (LP),landing-page,/explorer-ex-cbct-scanner-free-download,53,0,7,ready-for-implementation
https://www.prexion.com/explorer-pro-2/,/explorer-pro-2,PreXion 3D Explorer (LP),landing-page,/explorer-pro-2,32,0,4,ready-for-implementation
https://www.prexion.com/imaging-products/,/imaging-products,Imaging Products,product,/product,30,0,4,ready-for-implementation
https://www.prexion.com/leading-imaging-solutions/,/leading-imaging-solutions,Leading Imaging Solutions (LP),landing-page,/leading-imaging-solutions,33,0,4,ready-for-implementation
https://www.prexion.com/news-2/,/news-2,News,article,/news,25,0,4,ready-for-implementation
https://www.prexion.com/prexion-3d-evolve/,/prexion-3d-evolve,PreXion 3D Evolve (SFOV),product,/product/evolve-3d,32,2,5,ready-for-implementation
https://www.prexion.com/prexion-3d-excelsior-cbct-scanner/,/prexion-3d-excelsior-cbct-scanner,Excelsior CBCT Scanner,product,/product,47,1,5,ready-for-implementation
https://www.prexion.com/prexion-3d-excelsior/,/prexion-3d-excelsior,PreXion 3D Excelsior (LP),landing-page,/prexion-3d-excelsior,23,0,4,ready-for-implementation
https://www.prexion.com/prexion-3d-expedition/,/prexion-3d-expedition,Expedition CBCT Scanner,product,/product,36,2,4,ready-for-implementation
https://www.prexion.com/prexion-3d-explorer-ex/,/prexion-3d-explorer-ex,Explorer EX CBCT Scanner,product,/product,59,1,7,ready-for-implementation
https://www.prexion.com/prexion-3d-explorer-pro/,/prexion-3d-explorer-pro,Explorer CBCT Scanner,product,/product,54,1,4,ready-for-implementation
https://www.prexion.com/prexion-3d-intraoral-sensor/,/prexion-3d-intraoral-sensor,Prexion 3D Intraoral Sensor,product,/product/evolve-sensor,44,2,4,ready-for-implementation
https://www.prexion.com/prexion-care/,/prexion-care,Prexion Care,support,/prexion-care,6,0,4,ready-for-implementation
https://www.prexion.com/prexion-excelsior-endo/,/prexion-excelsior-endo,PreXion Excelsior Endo,product,/product/excelsior-endo,27,1,5,ready-for-implementation
https://www.prexion.com/prexion-excelsior-max-lfov/,/prexion-excelsior-max-lfov,PreXion Excelsior Max (LFOV),product,/product/excelsior-max,26,1,5,ready-for-implementation
https://www.prexion.com/prexion-excelsior-mid/,/prexion-excelsior-mid,PreXion Excelsior Mid (MFOV),product,/product/excelsior-mid,26,1,4,ready-for-implementation
https://www.prexion.com/privacy-policy/,/privacy-policy,Privacy Policy,legal,/privacy-policy,25,0,4,ready-for-implementation
https://www.prexion.com/product-specialists/,/product-specialists,Find a Product Specialist,sales,/product-specialists,7,0,4,ready-for-implementation
https://www.prexion.com/remote-support/,/remote-support,Remote Support,support,/support/remote,10,0,5,ready-for-implementation
https://www.prexion.com/request-a-demo/,/request-a-demo,Request a Demo,landing-page,/contact,6,0,4,ready-for-implementation
https://www.prexion.com/roi-calculator/,/roi-calculator,ROI Calculator,landing-page,/roi-calculator,12,0,4,ready-for-implementation
https://www.prexion.com/sales-info/,/sales-info,Sales Info,sales,/contact,11,0,4,ready-for-implementation
https://www.prexion.com/sample-page/,/sample-page,Sample Page,technical,/sample-page,5,0,4,ready-for-implementation
https://www.prexion.com/saudi-international-dental-conference/,/saudi-international-dental-conference,Saudi International Dental Conference (SIDC),article,/saudi-international-dental-conference,4,0,6,ready-for-implementation
https://www.prexion.com/subscription-success/,/subscription-success,Subscription Success,thank-you,/subscription-success,13,0,4,ready-for-implementation
https://www.prexion.com/success-be-more-profitable-more-quickly/,/success-be-more-profitable-more-quickly,Success – Be More Profitable More Quickly,thank-you,/success-be-more-profitable-more-quickly,13,1,4,ready-for-implementation
https://www.prexion.com/success-dental-professionals-insights-on-precision-imaging-excellence/,/success-dental-professionals-insights-on-precision-imaging-excellence,Success – Dental Professionals’ Insights on Precision Imaging Excellence,thank-you,/success-dental-professionals-insights-on-precision-imaging-excellence,13,1,4,ready-for-implementation
https://www.prexion.com/success-explorer-ex-cbct-scanner-free-download/,/success-explorer-ex-cbct-scanner-free-download,Download – Explorer EX CBCT Scanner Product Brochure (LP Download),thank-you,/success-explorer-ex-cbct-scanner-free-download,22,1,4,ready-for-implementation
